symbol,weightAvg
598,417.4461
599,417.2321
600,417.3597
601,417.2913
602,417.2759
603,417.4135
604,417.5779
605,417.271
606,417.4758
607,417.5335
608,417.3896
609,417.4103
610,417.271
611,417.1863
612,417.407
613,417.5545
614,417.4256
615,417.2729
616,417.1466
617,417.3318
618,417.4142
619,417.3123
620,417.4904
621,417.1914
622,417.3134
623,417.35
624,417.463
625,417.3081
626,417.2111
627,417.3591
628,417.3908
629,417.5302
630,417.3155
631,417.2732
632,417.3331
633,417.3486
634,417.3894
635,417.389
636,417.37
637,417.3746
638,417.0547
639,417.2406
640,417.4238
641,417.2704
642,417.4051
643,417.2285
644,417.3775
645,417.1627
646,417.3502
647,417.1718
648,417.2629
649,417.2799
650,417.495
651,417.3798
652,417.2546
653,417.2222
654,417.3448
655,417.4609
656,417.1832
657,417.3062
658,417.4216
659,417.3422
660,417.1147
661,417.3988
662,417.3867
663,417.4963
664,417.4426
665,417.3243
666,417.0238
667,417.5637
668,417.3515
669,417.499
670,417.53
671,417.3419
672,417.5737
673,417.5275
674,417.3505
675,417.6667
676,417.4883
677,417.2431
678,417.3448
679,417.1258
680,417.3288
681,417.611
682,417.2937
683,417.3075
684,417.361
685,417.2327
686,417.6922
687,417.4591
688,417.4228
689,417.2463
690,417.5209
691,417.3656
692,417.2913
693,417.2437
694,417.4508
695,417.2821
696,417.5657
697,417.4506
698,417.0858
699,417.4637
700,417.1562
701,417.2171
702,417.0427
703,417.5129
704,417.4003
705,417.3392
706,417.4876
707,417.5724
708,417.2886
709,417.4019
710,417.382
711,417.3996
712,417.3117
713,417.4657
714,417.4811
715,417.2947
716,417.5605
717,417.3287
718,417.4527
719,417.4997
720,417.6332
721,417.4213
722,417.4996
723,417.366
724,417.3797
725,417.2485
726,417.3802
727,417.5558
728,417.328
729,417.66
730,417.3882
731,417.5277
732,417.0928
733,417.2849
734,417.5439
735,417.23
736,417.2892
737,417.2978
738,417.4609
739,417.4759
740,417.5338
741,417.494
742,417.2562
743,417.2392
744,417.2503
745,417.3803
746,417.2843
747,417.4664
748,417.5507
749,417.3809
750,417.1995
751,417.3986
752,417.5071
753,417.4422
754,417.416
755,417.4628
756,417.4019
757,417.1347
758,417.57
759,417.4261
760,417.3801
761,417.2535
762,417.1526
763,417.1401
764,417.2589
765,417.355
766,417.0928
767,417.37
768,417.2328
769,417.3323
770,417.4579
771,417.3361
772,417.3425
773,417.585
774,417.4407
775,417.2712
776,417.5231
777,417.5584
778,417.2298
779,417.288
780,417.4261
781,417.1641
782,417.5209
783,417.4514
784,417.5623
785,417.5143
786,417.436
787,417.4489
788,417.4551
789,417.315
790,417.283
791,417.2067
792,417.8228
793,417.3303
794,417.327
795,417.4181
796,417.4445
797,417.2354
798,417.4549
799,417.3515
800,417.5977
801,417.4822
802,417.535
803,417.4085
804,417.4099
805,417.2875
806,417.1795
807,417.37
808,417.2613
809,417.3538
810,417.4294
811,417.5155
812,417.4712
813,417.3701
814,417.3531
815,417.3892
816,417.3326
817,417.4176
818,417.3307
819,417.5305
820,417.3608
821,417.2255
822,417.3349
823,417.2589
824,417.1947
825,417.463
826,417.4699
827,417.545
828,417.4542
829,417.27
830,417.1629
831,417.304
832,417.2892
833,417.4288
834,417.7271
835,417.6526
836,417.469
837,417.3588
838,417.4009
839,417.2588
840,417.2931
841,417.36
842,417.5222
843,417.1995
844,417.3808
845,417.3904
846,417.3162
847,417.5605
848,417.6251
849,417.37
850,417.6353
851,417.4146
852,417.2457
853,417.2271
854,417.5178
855,417.3797
856,417.5489
857,417.333
858,417.5191
859,417.2998
860,417.0721
861,417.37
862,417.4469
863,417.2677
864,417.4533
865,417.3834
866,417.2302
867,417.17
868,417.1788
869,417.3112
870,417.3111
871,417.361
872,417.0855
873,417.2807
874,417.4095
875,417.3548
876,417.333
877,417.3018
878,417.2892
879,417.4271
880,417.4709
881,417.4764
882,417.5337
883,417.4016
884,417.0874
885,417.4085
886,417.1657
887,417.442
888,417.3947
889,417.3159
890,417.5304
891,417.4492
892,417.4618
893,417.1935
894,417.3281
895,417.3813
896,417.3304
897,417.2352
898,417.3874
899,417.5663
900,417.4654
901,417.2087
902,417.3581
903,417.2414
904,417.285
905,417.3344
906,417.3592
907,417.3535
908,417.3898
909,417.2757
910,417.1112
911,417.594
912,417.3088
913,417.3283
914,417.3126
915,417.3882
916,417.3879
917,417.2945
918,417.2247
919,417.4359
920,417.657
921,417.4215
922,417.5518
923,417.3306
924,417.4437
925,417.3594
926,417.2524
927,417.3889
928,417.4172
929,417.5828
930,417.2067
931,417.1652
932,417.2463
933,417.0616
934,417.2524
935,417.21
936,417.3062
937,417.374
938,417.4926
939,417.636
940,417.4781
941,417.1376
942,417.2619
943,417.3925
944,417.2896
945,417.137
946,417.5115
947,417.2486
948,417.3935
949,417.1718
950,417.6042
951,417.3277
952,417.0081
953,417.4839
954,417.4832
955,417.4834
956,417.3008
957,417.2543
958,417.3213
959,417.4964
960,417.4533
961,417.4647
962,417.47
963,417.445
964,417.3847
965,417.4574
966,417.7033
967,417.2542
968,417.2115
969,417.4256
970,417.3589
971,417.361
972,417.4223
973,417.1468
974,417.5973
975,417.3606
976,417.2002
977,417.5739
978,417.5451
979,417.31
980,417.512
981,417.4622
982,417.44
983,417.2546
984,417.3515
985,417.2581
986,417.42
987,417.4786
988,417.2015
989,417.3517
990,417.2271
991,417.3296
992,417.3487
993,417.4184
994,417.2835
995,417.3241
996,417.6589
997,417.495
998,417.3429
999,417.4155
1000,417.482
1001,417.3363
1002,417.337
